,Baseline (no change),Mild downturn (+0.5 pts),Moderate downturn (+1.0 pts),Severe downturn (+1.5 pts)
2012-08-10,47373446.59306125,46916059.012642436,46458671.43222362,46001283.85180481
2012-08-17,48065538.53375448,47141879.72950687,46227182.051163845,45321445.49872542
2012-08-24,48548733.948188744,47156062.357072525,45790282.2315303,44451131.40498988
2012-08-31,46542219.79759591,44770635.466547735,43050114.22319506,41379665.30204091
2012-09-07,47898866.01438165,45630784.90143987,43449446.75312227,41352339.3138157
2012-09-14,44933824.133208014,42392851.525550246,39972766.265356205,37668922.90900549
2012-09-21,43851389.04170761,40972186.89077415,38256565.76087836,35696706.29832734
2012-09-28,43343394.482691064,40106545.12160703,37083212.60969863,34261208.83411575
2012-10-05,48337363.88491907,44295727.15855147,40557315.062453136,37102031.84545819
2012-10-12,45509477.448897906,41301636.83815914,37447246.2905469,33919664.7164076
2012-10-19,46938085.47843411,42186872.24755208,37876968.56735219,33971133.9370661
2012-10-26,46980029.65109126,41816895.19091766,37178762.69342487,33016644.13884362
